age,salary,hours_per_week,years_at_company,department,education,attrition,period
51,88585,42,4,HR,PhD,0,Jan-2023 (Baseline)
53,42743,35,9,Sales,Associate,0,Jan-2023 (Baseline)
38,75261,55,6,Sales,Associate,0,Jan-2023 (Baseline)
52,70342,42,7,Marketing,Associate,0,Jan-2023 (Baseline)
53,105865,53,14,HR,Associate,0,Jan-2023 (Baseline)
36,65331,39,4,Engineering,Associate,0,Jan-2023 (Baseline)
56,59573,38,18,Marketing,Master,0,Jan-2023 (Baseline)
32,37204,52,15,Sales,Bachelor,0,Jan-2023 (Baseline)
31,105191,56,3,Engineering,Bachelor,0,Jan-2023 (Baseline)
47,97979,54,6,Sales,Master,0,Jan-2023 (Baseline)
46,33710,52,3,Engineering,Master,0,Jan-2023 (Baseline)
27,69040,40,5,Engineering,Bachelor,1,Jan-2023 (Baseline)
53,73174,56,7,HR,Associate,1,Jan-2023 (Baseline)
29,72239,50,2,Engineering,Bachelor,0,Jan-2023 (Baseline)
52,112703,38,0,Marketing,Associate,0,Jan-2023 (Baseline)
22,43560,37,8,Marketing,Associate,0,Jan-2023 (Baseline)
52,57571,55,14,HR,PhD,0,Jan-2023 (Baseline)
51,46283,41,6,HR,PhD,1,Jan-2023 (Baseline)
51,51967,52,17,HR,Master,0,Jan-2023 (Baseline)
47,111639,38,7,Marketing,PhD,0,Jan-2023 (Baseline)
39,114664,41,18,Sales,Bachelor,0,Jan-2023 (Baseline)
48,34018,41,4,Engineering,Associate,0,Jan-2023 (Baseline)
32,86888,41,10,HR,Master,0,Jan-2023 (Baseline)
51,50956,50,15,HR,Master,0,Jan-2023 (Baseline)
43,47330,56,1,Engineering,PhD,1,Jan-2023 (Baseline)
39,56285,55,18,HR,PhD,0,Jan-2023 (Baseline)
41,47494,52,7,Engineering,Master,1,Jan-2023 (Baseline)
43,74117,39,9,Marketing,PhD,0,Jan-2023 (Baseline)
23,119604,57,12,Sales,Bachelor,1,Jan-2023 (Baseline)
27,82780,47,12,Engineering,PhD,0,Jan-2023 (Baseline)
31,95091,47,0,Engineering,Master,0,Jan-2023 (Baseline)
26,74396,51,17,Engineering,Master,0,Jan-2023 (Baseline)
38,31251,52,12,Sales,Bachelor,0,Jan-2023 (Baseline)
47,37570,56,19,Engineering,Master,0,Jan-2023 (Baseline)
46,54198,48,9,Sales,Master,0,Jan-2023 (Baseline)
39,51930,49,12,Engineering,Master,0,Jan-2023 (Baseline)
54,105652,52,8,Sales,Bachelor,0,Jan-2023 (Baseline)
43,105922,40,17,Sales,Bachelor,0,Jan-2023 (Baseline)
25,106870,42,16,Sales,PhD,0,Jan-2023 (Baseline)
51,87382,49,18,Sales,Bachelor,0,Jan-2023 (Baseline)
43,80055,36,10,Engineering,PhD,0,Jan-2023 (Baseline)
46,88423,42,15,Engineering,Associate,0,Jan-2023 (Baseline)
43,66612,51,7,Engineering,Master,0,Jan-2023 (Baseline)
43,90318,57,9,Marketing,Associate,1,Jan-2023 (Baseline)
25,101499,46,15,Marketing,Bachelor,0,Jan-2023 (Baseline)
43,98661,44,1,Marketing,Bachelor,0,Jan-2023 (Baseline)
52,85244,45,14,HR,PhD,0,Jan-2023 (Baseline)
33,35229,50,0,HR,Associate,1,Jan-2023 (Baseline)
44,95245,47,11,Sales,Associate,0,Jan-2023 (Baseline)
23,62994,35,9,Marketing,Bachelor,0,Jan-2023 (Baseline)
35,96930,47,9,Marketing,Associate,0,Jan-2023 (Baseline)
38,78557,44,9,Marketing,Master,0,Jan-2023 (Baseline)
59,109306,51,9,Marketing,Master,0,Jan-2023 (Baseline)
30,60461,55,8,Sales,Bachelor,1,Jan-2023 (Baseline)
32,113825,57,9,Marketing,Associate,0,Jan-2023 (Baseline)
37,106003,49,11,Marketing,Bachelor,0,Jan-2023 (Baseline)
59,59799,43,15,Sales,Associate,0,Jan-2023 (Baseline)
54,73431,45,11,Marketing,PhD,0,Jan-2023 (Baseline)
23,77821,39,12,Engineering,PhD,0,Jan-2023 (Baseline)
30,99176,56,16,Marketing,PhD,0,Jan-2023 (Baseline)
53,92024,54,19,Marketing,Associate,0,Jan-2023 (Baseline)
24,106681,54,2,Engineering,Bachelor,0,Jan-2023 (Baseline)
54,63288,42,14,HR,Bachelor,0,Jan-2023 (Baseline)
32,75431,42,4,Engineering,PhD,0,Jan-2023 (Baseline)
56,68777,54,3,Marketing,Master,0,Jan-2023 (Baseline)
33,111859,47,15,Marketing,Bachelor,0,Jan-2023 (Baseline)
38,57448,51,1,HR,Bachelor,0,Jan-2023 (Baseline)
47,82841,46,16,Marketing,Master,0,Jan-2023 (Baseline)
26,40814,45,15,Engineering,Bachelor,1,Jan-2023 (Baseline)
43,106524,49,19,Sales,Bachelor,0,Jan-2023 (Baseline)
41,64579,53,13,Sales,Associate,0,Jan-2023 (Baseline)
51,60653,42,17,Engineering,Master,0,Jan-2023 (Baseline)
59,82462,53,2,Sales,Associate,0,Jan-2023 (Baseline)
47,74893,40,17,Sales,Associate,0,Jan-2023 (Baseline)
37,106317,44,3,Sales,Bachelor,0,Jan-2023 (Baseline)
37,77826,55,6,Sales,PhD,0,Jan-2023 (Baseline)
37,76529,56,2,Marketing,PhD,1,Jan-2023 (Baseline)
52,39448,56,8,Sales,PhD,0,Jan-2023 (Baseline)
34,31974,42,14,Marketing,Bachelor,1,Jan-2023 (Baseline)
28,65869,54,5,Sales,Bachelor,0,Jan-2023 (Baseline)
34,119838,56,16,Sales,Bachelor,0,Jan-2023 (Baseline)
22,112560,57,12,HR,PhD,0,Jan-2023 (Baseline)
26,86608,35,12,Sales,Associate,0,Jan-2023 (Baseline)
25,86774,52,18,Sales,PhD,0,Jan-2023 (Baseline)
51,65235,57,8,HR,PhD,0,Jan-2023 (Baseline)
49,45975,52,6,Engineering,Associate,0,Jan-2023 (Baseline)
48,30769,40,19,Sales,PhD,0,Jan-2023 (Baseline)
39,60497,52,11,HR,Bachelor,0,Jan-2023 (Baseline)
49,58482,37,12,Sales,Associate,0,Jan-2023 (Baseline)
28,47244,46,5,Marketing,Master,0,Jan-2023 (Baseline)
56,53325,49,4,Sales,Bachelor,0,Jan-2023 (Baseline)
41,32234,45,3,Marketing,PhD,0,Jan-2023 (Baseline)
57,84716,51,4,Marketing,Associate,0,Jan-2023 (Baseline)
27,113471,40,3,Marketing,Master,0,Jan-2023 (Baseline)
40,92171,48,14,Marketing,Master,0,Jan-2023 (Baseline)
48,70338,49,1,Engineering,Bachelor,1,Jan-2023 (Baseline)
40,67824,49,12,HR,Bachelor,0,Jan-2023 (Baseline)
38,57678,41,18,Engineering,Bachelor,0,Jan-2023 (Baseline)
28,42816,42,15,Marketing,PhD,0,Jan-2023 (Baseline)
36,83862,40,8,HR,Associate,0,Jan-2023 (Baseline)
31,80987,45,1,Sales,Bachelor,0,Jan-2023 (Baseline)
33,30658,48,16,Marketing,Master,0,Jan-2023 (Baseline)
47,67396,43,0,Engineering,Bachelor,0,Jan-2023 (Baseline)
45,55021,44,13,HR,Bachelor,0,Jan-2023 (Baseline)
45,45325,41,13,HR,PhD,0,Jan-2023 (Baseline)
35,93273,40,3,Engineering,PhD,0,Jan-2023 (Baseline)
58,77324,50,14,HR,PhD,0,Jan-2023 (Baseline)
25,87039,53,3,Marketing,Master,0,Jan-2023 (Baseline)
35,94213,41,4,Engineering,PhD,0,Jan-2023 (Baseline)
26,118362,54,16,HR,Bachelor,0,Jan-2023 (Baseline)
34,102248,48,19,Sales,Bachelor,0,Jan-2023 (Baseline)
58,85832,38,5,HR,Associate,0,Jan-2023 (Baseline)
35,109111,43,18,Engineering,Associate,0,Jan-2023 (Baseline)
56,72975,35,18,Marketing,Associate,0,Jan-2023 (Baseline)
40,118628,35,15,Marketing,Associate,0,Jan-2023 (Baseline)
48,98528,42,2,Engineering,PhD,0,Jan-2023 (Baseline)
39,88579,45,5,Sales,Associate,0,Jan-2023 (Baseline)
32,111299,53,13,HR,Master,0,Jan-2023 (Baseline)
51,76357,38,19,HR,Bachelor,0,Jan-2023 (Baseline)
58,94862,54,16,Sales,Bachelor,0,Jan-2023 (Baseline)
32,55625,40,8,Engineering,Bachelor,0,Jan-2023 (Baseline)
51,116689,38,4,Engineering,Bachelor,0,Jan-2023 (Baseline)
31,86103,51,19,Marketing,Master,0,Jan-2023 (Baseline)
49,100380,52,5,Sales,PhD,0,Jan-2023 (Baseline)
51,71466,48,6,Marketing,Associate,0,Jan-2023 (Baseline)
39,108012,37,19,Sales,PhD,0,Jan-2023 (Baseline)
50,36676,37,11,Marketing,Bachelor,0,Jan-2023 (Baseline)
32,40269,43,5,Engineering,PhD,0,Jan-2023 (Baseline)
25,75640,45,0,Engineering,Master,0,Jan-2023 (Baseline)
25,95917,57,8,Marketing,Bachelor,0,Jan-2023 (Baseline)
38,102829,41,19,Marketing,Master,0,Jan-2023 (Baseline)
56,69607,39,8,Sales,Master,0,Jan-2023 (Baseline)
26,88470,56,13,Sales,Master,1,Jan-2023 (Baseline)
39,79779,38,5,Sales,Associate,0,Jan-2023 (Baseline)
48,116537,35,15,Sales,Associate,0,Jan-2023 (Baseline)
29,88869,44,15,Engineering,PhD,0,Jan-2023 (Baseline)
49,67515,44,12,Marketing,Bachelor,0,Jan-2023 (Baseline)
33,117283,49,15,Sales,Associate,0,Jan-2023 (Baseline)
52,39652,55,11,HR,PhD,0,Jan-2023 (Baseline)
44,118612,56,7,Engineering,Bachelor,0,Jan-2023 (Baseline)
42,43861,41,14,Engineering,PhD,0,Jan-2023 (Baseline)
28,55940,57,16,HR,Master,0,Jan-2023 (Baseline)
39,103932,49,16,Sales,Master,0,Jan-2023 (Baseline)
54,96037,36,4,HR,Bachelor,0,Jan-2023 (Baseline)
22,117331,56,13,Engineering,PhD,0,Jan-2023 (Baseline)
50,97498,38,0,Marketing,Bachelor,0,Jan-2023 (Baseline)
40,87330,48,11,HR,Bachelor,0,Jan-2023 (Baseline)
49,61184,53,11,Marketing,Bachelor,0,Jan-2023 (Baseline)
47,30424,40,7,Engineering,Associate,0,Jan-2023 (Baseline)
38,41148,41,19,Sales,Master,0,Jan-2023 (Baseline)
33,56799,45,17,Sales,Master,0,Jan-2023 (Baseline)
45,33685,55,0,HR,Master,0,Jan-2023 (Baseline)
27,75736,40,4,Sales,Associate,0,Jan-2023 (Baseline)
44,99960,50,4,Engineering,PhD,0,Jan-2023 (Baseline)
25,116692,45,17,Sales,Associate,0,Jan-2023 (Baseline)
46,74072,37,10,Sales,Master,0,Jan-2023 (Baseline)
45,108750,51,14,Sales,Bachelor,0,Jan-2023 (Baseline)
25,118698,54,16,Engineering,PhD,0,Jan-2023 (Baseline)
50,107384,48,15,Sales,Master,0,Jan-2023 (Baseline)
37,71847,39,1,HR,Associate,0,Jan-2023 (Baseline)
51,59273,38,2,Sales,Associate,0,Jan-2023 (Baseline)
23,118012,44,7,Sales,Master,0,Jan-2023 (Baseline)
28,51772,46,6,HR,Associate,0,Jan-2023 (Baseline)
40,67041,47,14,Marketing,PhD,0,Jan-2023 (Baseline)
29,36662,40,3,Sales,Master,0,Jan-2023 (Baseline)
34,101431,46,7,HR,Master,1,Jan-2023 (Baseline)
47,88485,41,4,Marketing,Bachelor,0,Jan-2023 (Baseline)
27,37633,50,3,HR,Associate,0,Jan-2023 (Baseline)
47,49973,53,3,Marketing,Bachelor,1,Jan-2023 (Baseline)
25,79991,50,3,Marketing,Master,0,Jan-2023 (Baseline)
28,78637,35,11,Engineering,PhD,0,Jan-2023 (Baseline)
44,102185,57,8,Sales,Bachelor,0,Jan-2023 (Baseline)
52,53948,35,8,HR,Bachelor,0,Jan-2023 (Baseline)
28,113223,57,9,Marketing,PhD,0,Jan-2023 (Baseline)
33,70002,35,14,Sales,Bachelor,0,Jan-2023 (Baseline)
57,104032,46,17,Engineering,Master,0,Jan-2023 (Baseline)
59,51454,37,10,HR,Master,0,Jan-2023 (Baseline)
44,33327,37,12,Engineering,Bachelor,1,Jan-2023 (Baseline)
38,34954,50,14,Marketing,Bachelor,0,Jan-2023 (Baseline)
35,63543,51,13,HR,Associate,1,Jan-2023 (Baseline)
45,115783,37,2,HR,Associate,0,Jan-2023 (Baseline)
44,34382,57,19,Marketing,Bachelor,1,Jan-2023 (Baseline)
33,63208,42,3,HR,Associate,0,Jan-2023 (Baseline)
22,39835,42,8,HR,PhD,0,Jan-2023 (Baseline)
27,113840,41,13,Marketing,PhD,0,Jan-2023 (Baseline)
58,90777,45,8,Marketing,PhD,0,Jan-2023 (Baseline)
37,98642,39,4,Marketing,PhD,0,Jan-2023 (Baseline)
40,94193,44,18,Engineering,Associate,0,Jan-2023 (Baseline)
39,89132,39,1,HR,Master,0,Jan-2023 (Baseline)
51,99634,36,4,Engineering,PhD,1,Jan-2023 (Baseline)
24,30731,43,19,Marketing,Master,0,Jan-2023 (Baseline)
25,107891,50,14,HR,Bachelor,0,Jan-2023 (Baseline)
32,96587,52,1,Sales,PhD,0,Jan-2023 (Baseline)
40,96548,43,15,Engineering,Bachelor,0,Jan-2023 (Baseline)
47,65409,42,19,Sales,Master,0,Jan-2023 (Baseline)
40,102078,53,1,HR,Bachelor,0,Jan-2023 (Baseline)
38,64363,50,8,Engineering,Bachelor,0,Jan-2023 (Baseline)
57,34406,54,9,Engineering,PhD,1,Jan-2023 (Baseline)
28,111703,55,2,Marketing,PhD,0,Jan-2023 (Baseline)
43,51108,53,4,Marketing,Master,0,Jan-2023 (Baseline)
42,39171,56,3,Engineering,Bachelor,0,Jan-2023 (Baseline)
39,85970,44,3,Sales,Master,0,Jan-2023 (Baseline)
52,51028,44,8,Marketing,Master,0,Jan-2023 (Baseline)
32,107231,42,9,HR,PhD,0,Jan-2023 (Baseline)
58,69937,40,4,HR,PhD,0,Jan-2023 (Baseline)
34,30405,52,5,Sales,Master,1,Jan-2023 (Baseline)
42,115654,51,3,Sales,Master,0,Jan-2023 (Baseline)
41,76316,53,15,Engineering,Associate,0,Jan-2023 (Baseline)
54,53667,38,4,HR,Associate,0,Jan-2023 (Baseline)
38,90955,46,18,Engineering,Master,0,Jan-2023 (Baseline)
32,77754,40,10,Engineering,Master,1,Jan-2023 (Baseline)
22,32664,55,16,HR,Bachelor,1,Jan-2023 (Baseline)
35,98368,41,12,Marketing,Associate,0,Jan-2023 (Baseline)
53,66122,38,5,Marketing,Master,0,Jan-2023 (Baseline)
22,92983,48,12,Sales,Master,0,Jan-2023 (Baseline)
56,110607,55,5,Sales,Associate,0,Jan-2023 (Baseline)
42,84955,56,2,Sales,PhD,0,Jan-2023 (Baseline)
27,90445,37,5,Sales,Bachelor,0,Jan-2023 (Baseline)
33,52918,42,5,HR,Bachelor,0,Jan-2023 (Baseline)
43,51389,38,2,Sales,Bachelor,0,Jan-2023 (Baseline)
33,67350,42,0,HR,PhD,0,Jan-2023 (Baseline)
26,106750,47,18,Marketing,Bachelor,0,Jan-2023 (Baseline)
47,77177,41,10,Marketing,Associate,0,Jan-2023 (Baseline)
47,61322,36,8,Engineering,Associate,0,Jan-2023 (Baseline)
26,100164,46,18,Sales,PhD,0,Jan-2023 (Baseline)
32,106801,36,4,Engineering,PhD,0,Jan-2023 (Baseline)
31,111228,40,8,Sales,Master,0,Jan-2023 (Baseline)
47,56904,35,16,Sales,Bachelor,0,Jan-2023 (Baseline)
49,93867,36,12,Engineering,PhD,0,Jan-2023 (Baseline)
49,83128,45,7,Marketing,Bachelor,0,Jan-2023 (Baseline)
57,70407,54,5,Sales,Bachelor,1,Jan-2023 (Baseline)
51,65724,52,0,Marketing,Master,0,Jan-2023 (Baseline)
34,40309,37,1,Engineering,Bachelor,1,Jan-2023 (Baseline)
26,54734,35,3,Engineering,Master,1,Jan-2023 (Baseline)
45,79469,42,15,Sales,PhD,0,Jan-2023 (Baseline)
56,109790,50,12,Engineering,Associate,0,Jan-2023 (Baseline)
59,107970,52,8,Sales,PhD,0,Jan-2023 (Baseline)
30,46883,53,15,Marketing,Associate,0,Jan-2023 (Baseline)
30,91139,42,3,Engineering,Master,1,Jan-2023 (Baseline)
23,37633,38,4,Engineering,Associate,1,Jan-2023 (Baseline)
27,90751,35,7,HR,PhD,0,Jan-2023 (Baseline)
43,60773,38,18,Sales,Bachelor,0,Jan-2023 (Baseline)
42,70486,36,12,HR,Associate,0,Jan-2023 (Baseline)
36,94587,54,17,Sales,Master,0,Jan-2023 (Baseline)
33,68239,41,4,Marketing,Bachelor,0,Jan-2023 (Baseline)
53,102668,53,16,Engineering,Bachelor,0,Jan-2023 (Baseline)
39,78022,47,1,Sales,Master,1,Jan-2023 (Baseline)
52,119886,47,4,HR,Master,0,Jan-2023 (Baseline)
58,87441,45,10,Marketing,PhD,1,Jan-2023 (Baseline)
34,56672,53,1,Sales,Associate,0,Jan-2023 (Baseline)
29,99775,35,17,HR,Master,0,Jan-2023 (Baseline)
58,66714,37,17,Engineering,PhD,0,Jan-2023 (Baseline)
46,78075,44,10,Engineering,Master,0,Jan-2023 (Baseline)
33,42313,44,6,Engineering,Associate,0,Jan-2023 (Baseline)
45,40740,47,1,HR,Bachelor,0,Jan-2023 (Baseline)
41,81738,51,12,Sales,Bachelor,0,Jan-2023 (Baseline)
56,46802,48,10,HR,PhD,1,Jan-2023 (Baseline)
31,119782,40,15,Engineering,PhD,0,Jan-2023 (Baseline)
59,107010,42,12,Marketing,Associate,0,Jan-2023 (Baseline)
57,93079,52,2,Marketing,PhD,0,Jan-2023 (Baseline)
28,96122,39,2,Engineering,Associate,0,Jan-2023 (Baseline)
28,83569,46,15,Engineering,Master,0,Jan-2023 (Baseline)
42,35426,47,3,Engineering,Bachelor,1,Jan-2023 (Baseline)
23,65313,52,18,Marketing,Bachelor,0,Jan-2023 (Baseline)
33,74622,51,2,Engineering,Bachelor,0,Jan-2023 (Baseline)
38,112376,45,14,HR,Master,0,Jan-2023 (Baseline)
58,49754,42,19,Sales,Master,0,Jan-2023 (Baseline)
59,74722,43,8,Marketing,Master,0,Jan-2023 (Baseline)
27,60965,44,1,Sales,PhD,0,Jan-2023 (Baseline)
55,42093,40,17,HR,Master,0,Jan-2023 (Baseline)
25,39271,49,3,Marketing,PhD,0,Jan-2023 (Baseline)
50,62884,39,10,Engineering,PhD,0,Jan-2023 (Baseline)
54,37417,49,19,Marketing,Master,1,Jan-2023 (Baseline)
55,36045,52,14,Engineering,Master,0,Jan-2023 (Baseline)
30,61578,57,0,Sales,PhD,0,Jan-2023 (Baseline)
55,48178,37,16,Marketing,PhD,1,Jan-2023 (Baseline)
26,79932,52,3,HR,Master,0,Jan-2023 (Baseline)
41,31590,36,14,HR,Master,0,Jan-2023 (Baseline)
39,57163,42,12,Sales,PhD,0,Jan-2023 (Baseline)
34,70795,39,5,Sales,PhD,0,Jan-2023 (Baseline)
22,116682,38,8,Sales,Bachelor,0,Jan-2023 (Baseline)
51,87108,39,2,HR,Master,0,Jan-2023 (Baseline)
34,109264,36,19,Sales,Associate,0,Jan-2023 (Baseline)
47,60896,53,4,Sales,Bachelor,0,Jan-2023 (Baseline)
37,70473,36,6,Sales,Associate,0,Jan-2023 (Baseline)
36,67834,44,10,Sales,Bachelor,0,Jan-2023 (Baseline)
55,109865,51,13,Sales,PhD,0,Jan-2023 (Baseline)
25,116328,57,10,Engineering,Master,0,Jan-2023 (Baseline)
49,116610,54,10,Marketing,Bachelor,1,Jan-2023 (Baseline)
50,97676,38,11,HR,Associate,0,Jan-2023 (Baseline)
36,75280,57,17,Engineering,Master,0,Jan-2023 (Baseline)
31,78677,50,7,HR,Associate,0,Jan-2023 (Baseline)
22,118245,39,16,Marketing,Master,0,Jan-2023 (Baseline)
57,55608,45,15,Engineering,Associate,0,Jan-2023 (Baseline)
58,61203,56,19,Engineering,Associate,1,Jan-2023 (Baseline)
31,110729,44,18,Engineering,PhD,0,Jan-2023 (Baseline)
23,64769,39,15,Engineering,Bachelor,0,Jan-2023 (Baseline)
26,51158,55,4,Marketing,PhD,1,Jan-2023 (Baseline)
24,80442,56,15,Marketing,PhD,0,Jan-2023 (Baseline)
53,59280,57,14,Engineering,Associate,0,Jan-2023 (Baseline)
55,110178,56,5,HR,Master,1,Jan-2023 (Baseline)
27,111815,55,13,Engineering,Master,0,Jan-2023 (Baseline)
50,57540,45,5,HR,Bachelor,0,Jan-2023 (Baseline)
28,77658,39,10,Marketing,PhD,0,Jan-2023 (Baseline)
35,118559,49,15,Sales,Associate,0,Jan-2023 (Baseline)
44,96808,40,3,Engineering,Bachelor,0,Jan-2023 (Baseline)
49,49406,45,6,HR,PhD,0,Jan-2023 (Baseline)
55,83167,50,15,Marketing,Associate,0,Jan-2023 (Baseline)
23,85790,56,9,Sales,Bachelor,0,Jan-2023 (Baseline)
29,88809,41,19,Engineering,Bachelor,0,Jan-2023 (Baseline)
32,32250,40,0,Engineering,PhD,0,Jan-2023 (Baseline)
33,56944,51,14,HR,PhD,0,Jan-2023 (Baseline)
59,106915,35,16,HR,Bachelor,0,Jan-2023 (Baseline)
51,51723,48,18,Marketing,Associate,0,Jan-2023 (Baseline)
34,56972,52,3,Marketing,PhD,0,Jan-2023 (Baseline)
58,59024,47,19,Marketing,Associate,0,Jan-2023 (Baseline)
40,45964,43,7,Marketing,Associate,0,Jan-2023 (Baseline)
41,43989,54,7,Engineering,Associate,0,Jan-2023 (Baseline)
38,61231,43,7,HR,PhD,0,Jan-2023 (Baseline)
27,108688,51,12,Sales,Master,0,Jan-2023 (Baseline)
57,30138,45,13,Sales,PhD,0,Jan-2023 (Baseline)
22,55492,35,9,Marketing,Bachelor,1,Jan-2023 (Baseline)
28,35456,47,1,HR,PhD,1,Jan-2023 (Baseline)
30,80534,36,19,Marketing,Bachelor,0,Jan-2023 (Baseline)
32,52554,56,4,Sales,PhD,1,Jan-2023 (Baseline)
27,101277,48,1,HR,Bachelor,1,Jan-2023 (Baseline)
22,82651,43,11,Sales,Master,0,Jan-2023 (Baseline)
